,t,Ba,Zr,S,x,y,nBa,nZr,nS,Baat,Zrat,Sat,BZ,Ba/BZ,Baerr,Zrerr,Serr,BZerr
28,269.1,41.26,29.8,28.93,20,2,0.30045074894230556,0.32666842059107254,0.9022298456260721,19.645662694658387,21.359965407047,58.99437189829462,0.9197422523997612,0.4790967387679484,0.5893698808397516,0.64079896221141,1.7698311569488385,0.010588063655015016
29,270.4,42.86,28.6,28.54,19,2,0.3121017716836456,0.3135139875471367,0.8900670513020428,20.591496420938427,20.684669996153325,58.72383358290825,0.9954955251772339,0.49887133928241556,0.6177448926281528,0.6205400998845997,1.7617150074872474,0.010606547671858505
30,261.0,41.06,30.11,28.82,18,2,0.2989943710996381,0.33006664912742256,0.8987993138936536,19.56948317999955,21.603195119099443,58.82732170090102,0.9058605947922083,0.47530265186629367,0.5870844953999865,0.6480958535729833,1.7648196510270304,0.010580723348884232
31,258.5,40.93,30.27,28.8,17,2,0.2980477255019042,0.3318205735332807,0.8981755808513957,19.505181063519384,21.715382516234424,58.77943642024619,0.8982195477762046,0.47319054786285575,0.5851554319055815,0.6514614754870327,1.7633830926073857,0.010576107876852956
32,259.5,40.47,31.17,28.36,16,2,0.29469805646376895,0.3416863983162326,0.8844534539217216,19.377348156408107,22.46698325713858,58.155668586453324,0.862481087675677,0.4630817963107635,0.5813204446922432,0.6740094977141574,1.7446700575935996,0.010548776486875402
33,254.5,40.59,30.58,28.83,15,2,0.2955718831693695,0.3352188020696308,0.8991111804147824,19.319662901584927,21.911131007502867,58.76920609091222,0.8817282364369706,0.4685736331971679,0.5795898870475478,0.657333930225086,1.7630761827273667,0.010564700697045636
34,253.1,40.56,30.64,28.8,14,2,0.29535342649296936,0.3358765237218276,0.8981755808513957,19.31164890498794,21.96124683083096,58.72710426418111,0.8793512068666657,0.46790147773005,0.5793494671496382,0.6588374049249287,1.7618131279254332,0.010562889148806062
35,249.5,40.11,31.23,28.66,13,2,0.29207657634696743,0.34234411996842934,0.8938094495555903,19.11208054206415,22.401345824343526,58.48657363359233,0.8531666218596146,0.46038311493193174,0.5733624162619244,0.6720403747303058,1.7545972090077697,0.010540013574779862
36,249.6,39.61,32.07,28.32,12,2,0.2884356317402987,0.35155222309918444,0.8832059878372057,18.93623934517976,23.079939876950018,57.98382077787022,0.8204631141215156,0.45068922723954175,0.5680871803553929,0.6923981963085005,1.7395146233361065,0.010503439690155655
37,242.4,39.67,32.06,28.27,11,2,0.28887254509309895,0.3514426028238183,0.8816466552315609,18.980275621602928,23.091420697733017,57.92830368066406,0.8219622287452544,0.45114120138007574,0.5694082686480878,0.6927426209319905,1.7378491104199216,0.010505322154395785
38,239.2,39.15,32.78,28.08,10,2,0.28508596270216346,0.3593352626501798,0.8757211913301107,18.753898290946495,23.63826301448716,57.60783869456635,0.7933704045619939,0.44239070888189647,0.5626169487283949,0.7091478904346147,1.7282351608369904,0.010465795667929989
39,239.0,39.38,32.72,27.9,9,2,0.2867607972212311,0.35867754099798294,0.8701075939497895,18.921287117364216,23.666556940617063,57.412155942018714,0.7994947116659411,0.4442884474641121,0.5676386135209265,0.7099967082185119,1.7223646782605613,0.010474919608311832
40,233.7,39.17,32.5,28.33,8,2,0.2852316004864302,0.35626589493992805,0.8835178543583346,18.70352324825453,23.361462885617964,57.93501386612749,0.8006143853161265,0.444634004840279,0.5611056974476359,0.7008438865685389,1.7380504159838246,0.010476548089339902
41,225.9,39.22,32.97,27.81,7,2,0.2855956949470971,0.3614180478821363,0.8673007952596289,18.859734075295385,23.866775282912048,57.27349064179258,0.7902087253822864,0.4414059177448947,0.5657920222588615,0.7160032584873615,1.7182047192537773,0.01046094055741914
42,200.0,38.19,34.16,27.66,6,2,0.27809534905735944,0.3744628606507059,0.8626227974426945,18.353935783573945,24.714067750550083,56.93199646587597,0.7426513501876042,0.42616175066094225,0.5506180735072184,0.7414220325165024,1.707959893976279,0.010375289253661971
43,173.5,39.03,32.82,28.15,5,2,0.284212135996563,0.3597737437516443,0.8779042569780134,18.6749443430877,23.639928735300394,57.68512692161192,0.7899746463787466,0.4413328691425461,0.560248330292631,0.7091978620590118,1.7305538076483575,0.01046057714267237
44,149.6,38.71,34.05,27.25,4,2,0.28188193144829493,0.37325703762167844,0.8498362700764074,18.73000459517047,24.801540112606048,56.468455292223474,0.7551952221568065,0.43026280645227194,0.5619001378551141,0.7440462033781814,1.694053658766704,0.010400270384541051
